Date;CGW_US;GEAE;GEGB;GESW;GRNSOLAR;GRNWIND;ICLN;MXEA;SPGTAQNT;VIX;Policy_un;BTC
21.03.2022;52.3;91.61;283.94;350.1;3876.25;2853.07;21.0;2157.62;9031.46;23.53;137.5;4755.24
18.03.2022;52.57;92.48;284.99;349.67;3789.55;2886.54;21.15;2156.76;9058.62;23.87;137.5;4621.61
17.03.2022;52.08;92.3;283.84;345.95;3795.58;2904.54;21.08;2149.68;8994.34;25.67;137.5;4729.86
16.03.2022;51.55;90.45;279.09;339.09;3795.55;2852.97;20.82;2107.99;8834.27;26.67;137.5;4579.93
15.03.2022;50.46;87.94;275.19;338.53;3602.26;2779.17;20.28;2052.62;8695.16;29.83;137.5;4608.43
14.03.2022;49.79;88.45;276.52;337.91;3702.04;2836.44;19.96;2058.05;8629.42;31.77;137.5;4454.69
11.03.2022;49.42;92.1;277.85;338.52;3772.21;2930.25;20.71;2043.94;8573.94;30.75;137.5;4360.52
10.03.2022;49.88;92.4;279.14;340.9;3838.5;2891.31;21.03;2053.78;8620.62;30.23;137.5;4336.61
09.03.2022;50.51;93.39;276.67;342.2;3682.49;2986.26;21.33;2057.53;8684.42;32.45;137.5;4441.44
08.03.2022;49.0983;92.76;272.64;332.69;3663.75;3058.49;21.27;1977.61;8433.82;35.13;137.5;4693.97
07.03.2022;49.34;88.16;272.03;334.97;3585.36;2894.03;19.9;1996.31;8557.95;36.45;137.5;4324.37
04.03.2022;50.51;85.83;277.42;344.5;3609.79;2757.98;19.42;2035.47;8719.53;31.98;137.5;4220.99
03.03.2022;51.24;86.53;280.11;348.71;3650.06;2803.03;19.57;2107.87;8856.71;30.48;137.5;4425.41
02.03.2022;51.56;88.51;280.8;351.0;3724.74;2872.85;20.18;2127.71;8868.82;30.74;137.5;4710.52
01.03.2022;50.79;90.84;279.41;347.49;3745.62;2974.16;20.51;2139.38;8805.01;33.32;137.5;4914.71
28.02.2022;51.65;91.82;282.31;346.97;3636.37;3043.82;20.71;2179.1;8946.95;30.15;137.5;4953.6
25.02.2022;52.17;85.23;283.13;345.08;3478.35;2786.08;19.44;2177.75;8962.38;27.59;137.5;4683.33
24.02.2022;50.8;82.38;277.26;333.27;3402.43;2668.51;18.91;2108.09;8699.61;30.32;137.5;4391.31
23.02.2022;50.82;77.96;281.02;337.32;3329.05;2543.71;17.57;2200.46;8787.89;31.02;137.5;4306.96
22.02.2022;51.15;78.15;283.6;339.85;3195.73;2539.89;17.69;2204.38;8840.54;28.81;137.5;4228.87
18.02.2022;51.97;79.31;286.18;348.42;3172.14;2548.92;18.14;2215.9;8940.14;27.75;137.5;4265.16
17.02.2022;52.14;80.03;287.66;348.8;3186.41;2567.23;18.48;2235.92;8974.47;28.11;137.5;4494.83
16.02.2022;52.77;81.65;289.31;349.87;3233.09;2643.84;18.74;2256.56;9019.49;24.29;137.5;4575.38
15.02.2022;52.65;81.8;288.73;353.58;3183.11;2648.18;18.73;2266.3;9076.4;25.7;137.5;4954.92
14.02.2022;51.64;81.81;283.5;352.71;3201.73;2666.85;17.83;2251.45;9057.58;28.33;137.5;4953.1
11.02.2022;51.81;78.6;280.95;345.1;3039.47;2549.83;17.97;2230.46;8930.4;27.36;137.5;4737.62
10.02.2022;52.7;80.1;284.61;348.44;3032.72;2606.89;18.45;2279.33;9023.37;23.91;137.5;4773.73
09.02.2022;53.7;81.63;285.4;350.22;3190.72;2614.28;18.93;2298.54;9134.63;19.96;137.5;4942.6
08.02.2022;52.87;82.91;283.69;351.66;3314.96;2662.3;18.27;2294.96;9246.75;21.44;137.5;5016.36
07.02.2022;52.25;79.74;278.63;348.77;3328.34;2586.08;18.23;2258.79;9112.63;22.86;137.5;4958
04.02.2022;52.79;80.66;280.66;341.21;3385.63;2640.31;18.34;2260.0;9018.79;23.22;137.5;4956.08
03.02.2022;53.19;80.58;281.66;347.66;3257.55;2667.77;18.17;2247.73;9081.6;24.35;137.5;4549.04
02.02.2022;54.42;80.01;283.89;351.03;3246.76;2704.83;18.64;2261.69;9194.07;22.09;137.5;4125.53
01.02.2022;54.14;81.77;285.06;352.11;3265.29;2738.98;18.72;2276.83;9396.74;21.96;137.5;4200.94
31.01.2022;53.99;81.39;283.91;350.98;3274.88;2704.65;18.75;2250.43;9323.68;24.83;139.2476654;4339.68
28.01.2022;52.72;81.52;282.68;345.89;3270.01;2762.69;17.76;2222.45;9267.89;27.66;139.2476654;4318.91
27.01.2022;52.2;78.0;280.33;339.39;3251.25;2663.41;17.6;2201.56;9087.7;30.49;139.2476654;4235.34
26.01.2022;52.8;78.54;278.91;333.16;3431.09;2696.02;17.88;2203.51;9017.31;31.96;139.2476654;3999.48
25.01.2022;53.07;80.15;282.09;336.46;3592.47;2679.74;17.82;2234.47;9144.73;31.16;139.2476654;4163.39
24.01.2022;54.21;78.51;281.22;337.32;3478.23;2593.62;18.37;2211.51;9148.34;29.9;139.2476654;4123.31
21.01.2022;54.22;80.58;282.44;344.86;3579.99;2666.25;18.3;2218.6;9294.19;28.85;139.2476654;4151.64
20.01.2022;54.67;81.48;284.37;341.89;3543.45;2701.08;18.98;2284.35;9386.17;25.59;139.2476654;4302.61
19.01.2022;55.15;85.14;284.38;344.75;3655.39;2899.05;18.86;2318.85;9492.82;23.85;139.2476654;4782.28
18.01.2022;55.4;83.49;288.8;347.51;3661.39;2823.75;18.91;2301.0;9505.74;22.79;139.2476654;4682.85
14.01.2022;56.12;83.67;292.37;347.76;3715.45;2824.72;19.45;2313.35;9556.03;19.19;139.2476654;4695.08
13.01.2022;57.0;85.31;294.81;351.96;3799.69;2892.44;19.57;2337.99;9681.45;20.31;139.2476654;4850.29
12.01.2022;57.51;84.92;296.03;353.05;3725.55;2890.64;19.79;2333.0;9667.93;17.62;139.2476654;4796.72
11.01.2022;57.45;85.84;297.17;356.45;3725.87;2944.05;19.74;2359.59;9850.73;18.41;139.2476654;4929.06
10.01.2022;57.12;85.93;294.86;356.66;3776.3;2906.9;19.57;2352.69;9901.62;19.4;139.2476654;4802.43
07.01.2022;58.25;85.06;294.63;355.6;3676.69;2884.67;19.66;2316.74;9859.77;18.76;139.2476654;4695.18
